Protein ID	Description	Peptides	Frames	Hits	Ratio AS-0/C-0	StDev	pValue	Fraction 1D_2D									
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	2	4	0.002	0.002	2.49E-13	A_32_16
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	1	1	0.727	0.04	7.67E-03	A_34_16
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	1	2	2.146	0.137	1.41E-02	A_34_18
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	1	1	0.088	0.001	1.02E-04	A_25_25
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	1	1	12.328	0.366	1.20E-02	B_32_15
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	1	3	28.589	2.953	5.26E-03	B_34_15
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	1	1	99999.9	99999.9	1.00E-05	B_36_15
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	1	1	2.253	0.037	8.40E-05	B_31_16
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	1	1	21.415	2.281	1.47E-02	B_32_19
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	2	2	81.628	2.285	5.84E-05	B_34_17
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	1	2	0.574	0.063	1.14E-03	C_32_15
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	1	1	0.054	0.053	2.46E-02	C_35_16
SP://A2A891-5	CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1	1	1	1	0.424	0.022	2.36E-03	C_32_19
SP://A2A998	A2A998_MOUSE Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1	1	1	1	2.009	0.194	1.18E-02	A_20_01
SP://A2A998	A2A998_MOUSE Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1	1	1	2	1.565	0.069	7.72E-05	A_22_01
SP://A2A998	A2A998_MOUSE Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1	1	1	2	0.359	0.073	2.22E-03	A_24_01
SP://A2A998	A2A998_MOUSE Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1	5	5	15	2.469	0.059	3.10E-12	A_27_02
SP://A2A998	A2A998_MOUSE Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1	1	1	1	2.736	0.224	2.11E-02	C_22_23
SP://A2AH22-7	AMRA1_MOUSE Isoform 7 of Activating molecule in BECN1_regulated autophagy protein 1 OS=Mus musculus GN=Ambra1	1	1	1	0.373	0.048	6.59E-03	A_33_21
SP://A2AJW5	A2AJW5_MOUSE Protein Fam217b OS=Mus musculus GN=Fam217b PE=4 SV=1	1	1	1	0.579	0.062	1.66E-02	C_24_27
SP://A2ANL9	A2ANL9_MOUSE Teneurin_1 OS=Mus musculus GN=Tenm1 PE=2 SV=1	1	1	1	0.345	0.037	7.76E-03	A_31_17
SP://A2ANU2	A2ANU2_MOUSE Polypeptide N_acetylgalactosaminyltransferase 12 OS=Mus musculus GN=Galnt12 PE=2 SV=1	1	1	1	0.001	0.001	1.03E-02	A_21_31
SP://A2ANU2	A2ANU2_MOUSE Polypeptide N_acetylgalactosaminyltransferase 12 OS=Mus musculus GN=Galnt12 PE=2 SV=1	1	1	1	5.747	0.481	3.26E-02	C_20_23
SP://A2ATR8	A2ATR8_MOUSE Plasma protease C1 inhibitor OS=Mus musculus GN=Serping1 PE=4 SV=1	1	1	6	3.945	0.669	2.92E-07	B_21_31
SP://A2ATR8	A2ATR8_MOUSE Plasma protease C1 inhibitor OS=Mus musculus GN=Serping1 PE=4 SV=1	1	1	1	99999.9	99999.9	1.00E-05	B_23_26
SP://A2ATR8	A2ATR8_MOUSE Plasma protease C1 inhibitor OS=Mus musculus GN=Serping1 PE=4 SV=1	1	1	5	2.309	0.18	1.54E-07	B_23_31
SP://A2ATR8	A2ATR8_MOUSE Plasma protease C1 inhibitor OS=Mus musculus GN=Serping1 PE=4 SV=1	1	1	4	1.405	0.045	1.78E-03	B_25_31
SP://A2BIN1	A2BIN1_MOUSE Major urinary protein 8 OS=Mus musculus GN=Mup10 PE=2 SV=1	1	1	2	3.997	0.346	2.14E-05	B_42_21
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	2	4.036	0.088	1.40E-03	A_10_01
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	2	0	0	0.00E+00	A_13_02
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	2	1.945	0.08	2.04E-03	A_14_01
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	2	1.804	0.159	2.83E-04	A_16_01
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	1	2.279	0.074	1.10E-02	A_09_31
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	2	0.102	0.003	1.08E-07	B_12_23
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	1	12.14	3.925	1.11E-03	B_16_23
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	2	0.103	0.012	4.86E-03	B_11_24
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	1	0.176	0.015	2.74E-04	B_12_25
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	1	0	0	0.00E+00	B_09_31
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	3	0.833	0.017	4.53E-03	B_11_31
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	3	0.692	0.065	3.73E-03	B_13_31
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	2	0.241	0.023	1.00E-03	B_15_31
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	3	37.76	7.065	4.09E-03	C_09_02
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	1	2.758	0.111	3.29E-03	C_10_01
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	1	0.001	0.001	2.53E-02	C_12_01
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	2	20.544	0.667	5.10E-04	C_13_02
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	2	3.177	0.114	2.98E-03	C_14_01
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	2	0.29	0.039	1.10E-03	C_16_01
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	2	5.778	0.455	6.33E-03	C_12_24
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	1	99999.9	99999.9	1.00E-05	C_12_25
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	1	4.179	0.405	2.19E-02	C_10_31
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	3	6.444	0.298	2.33E-10	C_12_31
SP://A2RSJ4	UH1BL_MOUSE UHRF1_binding protein 1_like OS=Mus musculus GN=Uhrf1bp1l PE=2 SV=2	1	1	2	1.928	0.136	2.66E-04	C_14_31
SP://A7VMS6	A7VMS6_MOUSE MHC classIb T5 OS=Mus musculus GN=Gm8909 PE=2 SV=2	1	1	1	6.507	2.115	3.06E-03	B_19_35
SP://A7VMS6	A7VMS6_MOUSE MHC classIb T5 OS=Mus musculus GN=Gm8909 PE=2 SV=2	1	1	1	5.343	1.924	8.05E-03	B_21_31
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	3	0.186	0.015	9.90E-05	A_17_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	3	3.134	0.209	2.21E-04	A_18_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	7	1.893	0.101	3.82E-07	A_20_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	8	0.792	0.019	1.54E-14	A_22_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	8	0.77	0.038	3.91E-05	A_24_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	3.443	0.265	1.90E-03	A_32_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	6	3.352	0.218	1.05E-11	A_36_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	5	1.458	0.046	3.57E-05	A_38_00
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	6	0	0	0.00E+00	A_38_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0	0	0.00E+00	A_40_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	4	4.83	0.875	1.35E-03	A_19_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	4	3.406	0.526	1.10E-04	A_21_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	7.173	0.356	1.26E-02	A_27_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	4.129	0.035	1.37E-05	A_29_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	2	3	3.444	0.19	2.64E-03	A_31_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	2.638	0.422	4.48E-02	A_33_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	3	15	0.449	0.019	9.51E-13	A_37_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	5	1.286	0.118	8.32E-04	A_38_03
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	9	2.083	0.027	1.53E-09	A_39_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	3	3	9	0.532	0.011	1.78E-08	A_41_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	5	2.211	0.187	3.61E-07	A_23_19
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0.345	0.118	3.75E-03	A_23_21
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	4	0.669	0.042	4.55E-04	A_25_21
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0.614	0.03	7.59E-03	A_27_19
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	3	0.656	0.057	8.37E-04	A_29_19
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	4	0.472	0.013	3.94E-06	B_35_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	3	11	0.624	0.023	6.06E-09	B_36_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	2	8	1.417	0.034	9.84E-11	B_37_02
