"con1"	"con2"	"con3"	"con4"	"d2_1"	"d2_2"	"d2_3"	"d2_4"	"d4_1"	"d4_2"	"d4_3"	"d4_4"	"Only.identified.by.site"	"Reverse"	"Potential.contaminant"	"t.test.Significantcon_2d"	"t.test.Significantcon_4d"	"matrix31"	"Q.value"	"Intensity"	"MS.MS.Count"	"X.Log.t.test.p.valuecon_2d"	"t.test.Differencecon_2d"	"X.Log.t.test.p.valuecon_4d"	"t.test.Differencecon_4d"	"Test.statistic_"	"Protein.IDs"	"Majority.protein.IDs"	"Protein.names"	"Gene.names"	"Gene_name"	"ProteinID"	"con_mean"	"d2_mean"	"ttest_con_d2_pval"	"d4_mean"	"ttest_con_d4_pval"	"ttest_con_d2_fdr"	"ttest_con_d4_fdr"
"7"	-3.010185	-2.722752	-3.019868	-2.85442	-2.939502	-3.038454	-3.031946	-3.12238	-2.98447	-3.072308	-3.090295	-2.982719	""	""	""	""	""	""	"0"	"100060000"	"3"	"0.818612209393303"	"0.131264269351959"	"0.862247953504422"	"0.130641639232636"	"0.121390165464108"	"A0A096MK75;A0A096MJM1;Q32PX6"	"A0A096MK75;A0A096MJM1;Q32PX6"	""	"Rhog"	"Rhog"	"A0A096MK75"	-2.90180625	-3.0330705	0.167333873668904	-3.032448	0.162620699634567	0.643538343276073	0.846850709931062
"8"	0.1874046	0.04450607	0.3737049	-0.6517506	0.1148014	0.9016209	0.02342415	0.2360001	1.087297	0.2266121	0.1062069	-1.006706	""	""	""	""	""	""	"0"	"2028700000"	"22"	"0.505714752884957"	"-0.330495357513428"	"0.0859529050874657"	"-0.114886283874512"	"-0.0773919058533005"	"A0A0G2JVC7;A0A096MJW0;A0JN02;A0A096MJT3;E9PST0;A0A096MJN4;A0A096MIX9"	"A0A0G2JVC7;A0A096MJW0;A0JN02;A0A096MJT3;E9PST0;A0A096MJN4"	""	"Sept4"	"Sept4"	"A0A0G2JVC7"	-0.0115337575	0.3189616375	0.312641964026648	0.1033525	0.822927397413565	0.73096313401361	0.977287668004742
"9"	-0.640625	-3.050463	-5.328681	-0.4809361	-0.5181103	-0.2567711	-0.7209873	-0.4152813	-0.8733482	-5.404288	-0.2316704	-5.279347	""	""	""	""	""	""	"0"	"1301000000"	"2"	"0.823140230570771"	"-1.89738893508911"	"0.118292194591088"	"0.57198703289032"	"0.20420146961111"	"A0A096MJP9;Q4V8J5"	"A0A096MJP9;Q4V8J5"	""	"Ddi2"	"Ddi2"	"A0A096MJP9"	-2.375176275	-0.4777875	0.196442234420091	-2.9471634	0.761940519611587	0.65941070689684	0.966841729932831
"10"	-3.493738	-2.568922	-2.839893	-2.760948	-2.099302	-2.162573	-2.225826	-2.49122	-2.60622	-2.698109	-3.045485	-2.511814	""	""	""	""	""	""	"0.00042553"	"309260000"	"3"	"1.65933817424382"	"-0.671144962310791"	"0.37570619776073"	"-0.200468480587006"	"-0.16269867300965"	"A0A096MJV2;D3Z8K0;A0A096MJC5;B5DEN7"	"A0A096MJV2;D3Z8K0;A0A096MJC5;B5DEN7"	""	"Pdzd11"	"Pdzd11"	"A0A096MJV2"	-2.91587525	-2.24473025	0.0364385158332012	-2.715407	0.428776857287207	0.452008819295074	0.941075218370869
"12"	-1.801941	-5.363971	-1.902599	-2.986828	-2.460058	-1.068583	-2.546232	-2.338531	-5.3195	-2.594154	-3.346991	-1.932795	""	""	""	""	""	"+"	"0"	"308010000"	"5"	"0.456234269655342"	"-0.910483777523041"	"0.0939050813795059"	"0.284525036811829"	"0.135110286323629"	"Q5XI22;F1LS48;D3ZKB6;A0A096MJY8;A0A0G2JUB4"	"Q5XI22;F1LS48;D3ZKB6;A0A096MJY8;A0A0G2JUB4"	"Acetyl-CoA acetyltransferase, cytosolic"	"Acat2;RGD1562948"	"Acat2"	"Q5XI22"	-3.01383475	-2.103351	0.367639803624191	-3.29836	0.805676872769328	0.759913506050127	0.97467001701752
"13"	6.410309	6.17514	6.233349	6.351328	6.552736	6.399658	6.229193	6.69887	6.539192	5.411089	6.246927	6.41185	""	""	""	""	""	""	"0"	"155460000000"	"681"	"0.766343665855423"	"-0.177582740783691"	"0.215585595560719"	"0.140266895294189"	"0.11133976669261"	"A0A096MK30;O35763"	"A0A096MK30;O35763"	"Moesin"	"Msn"	"Msn"	"A0A096MK30"	6.2925315	6.47011425	0.186340386740565	6.1522645	0.623922940548625	0.653764872807266	0.960227798398755
"14"	-1.172626	-2.576097	-4.468204	-2.813334	-1.603237	-1.793404	-1.217684	-0.7372952	-2.505691	-4.535177	-1.71176	-2.128395	""	""	""	""	""	""	"0.0008071"	"374680000"	"2"	"1.02621060412543"	"-1.4196605682373"	"0.013673957311365"	"-0.0373098254203796"	"-0.0194208018197645"	"A0A096MK98;F1LX81"	"A0A096MK98;F1LX81"	""	"Slfn5"	"Slfn5"	"A0A096MK98"	-2.75756525	-1.33790505	0.123485339052342	-2.72025575	0.969012564772356	0.607948220783664	0.994733758601851
"15"	-0.2407341	-1.440992	-2.980139	0.1799984	-0.03491592	-0.2757397	-0.2067757	0.7265263	-0.4425564	-4.47975	0.60886	-1.619368	""	""	""	""	""	""	"0"	"1511100000"	"20"	"0.778334635901202"	"-1.17274045944214"	"0.10203798808224"	"0.362736701965332"	"0.157266170135549"	"A0A096MKE2;D4A719;A0A096MKG7"	"A0A096MKE2;D4A719;A0A096MKG7"	""	"Snx12"	"Snx12"	"A0A096MKE2"	-1.120466675	0.052273745	0.197840542167046	-1.4832036	0.7921318514038	0.65941070689684	0.971780504745026
"17"	-0.8775806	-0.5578995	-0.08080673	0.08220291	-0.6692257	-0.8459263	-0.9620266	-0.5620537	-0.1165829	-1.809677	-0.4623775	-0.1597843	""	""	""	""	""	""	"0"	"1225100000"	"12"	"0.848069484421131"	"0.401287078857422"	"0.249598362880698"	"0.278584480285645"	"0.191461323058852"	"Q1HCL7;A0A096MKG5"	"Q1HCL7;A0A096MKG5"	"NAD kinase 2, mitochondrial"	"Nadk2"	"Nadk2"	"Q1HCL7"	-0.35852098	-0.759808075	0.166872721212424	-0.637105425	0.568944928517114	0.643538343276073	0.950957378226993
"18"	-2.447222	-1.491009	-2.747822	-1.912651	-2.572777	-1.658106	-1.870951	-1.446444	-2.239424	-2.318676	-1.497345	-1.882236	""	""	""	""	""	""	"0"	"458750000"	"6"	"0.296014566173809"	"-0.262606620788574"	"0.193115853438678"	"-0.165255546569824"	"-0.123625259915747"	"A0A096MKH2;Q4KM55"	"A0A096MKH2;Q4KM55"	""	"Vta1"	"Vta1"	"A0A096MKH2"	-2.149676	-1.8870695	0.506256869264441	-1.98442025	0.64341196532343	0.810418757355289	0.963637905671656
