527_RG_Benzing_Rinschen_150523_TQ_S01	527_RG_Benzing_Rinschen_150523_TQ_S02	527_RG_Benzing_Rinschen_150523_TQ_S07	527_RG_Benzing_Rinschen_150523_TQ_S08	527_RG_Benzing_Rinschen_150523_TQ_S09	527_RG_Benzing_Rinschen_150523_TQ_S10	527_RG_Benzing_Rinschen_150523_TQ_S15	527_RG_Benzing_Rinschen_150523_TQ_S16	527_RG_Benzing_Rinschen_150523_TQ_S17	527_RG_Benzing_Rinschen_150523_TQ_S18	527_RG_Benzing_Rinschen_150523_TQ_S23	527_RG_Benzing_Rinschen_150523_TQ_S24	724_RG_Rinschen_Schermer_150624_C1_01	724_RG_Rinschen_Schermer_150624_C2_02	724_RG_Rinschen_Schermer_150624_C3_03	724_RG_Rinschen_Schermer_150624_C4_04	724_RG_Rinschen_Schermer_150624_PAN_1_05	724_RG_Rinschen_Schermer_150624_PAN_2_06	724_RG_Rinschen_Schermer_150624_PAN_3_07	724_RG_Rinschen_Schermer_150624_PAN_4_08	Q-value	Intensity	MS/MS Count	Protein IDs	Majority protein IDs	Protein names	Gene names	PDB
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	N	N	N	T	T	T	T	T
#!{C:Group1}con_33	con_33	PAN_33	PAN_33	con_33	con_33	PAN_33	PAN_33	con_33	con_33	PAN_33	PAN_33	con_37	con_37	con_37	con_37	PAN_37	PAN_37	PAN_37	PAN_37								
23.81431	23.48419	22.02579	23.50773	23.87605	24.12147	24.17585	23.8041	22.15113	23.48677	23.24003	22.19108	24.81216	24.85984	24.66541	23.94136	24.10645	24.13163	24.74653	24.7519	0	1872900000	11	Q14XT3;X2D546;X2D544;X2D537;X2D4V5;X2D4V3;X2D4U5;X2D4U2;X2D4K6;X2D4F2;X2D4E2;X2D4D6;X2D3Z8;X2D3Z7;X2D3Z6;H9E7F7;A0A059QM31;H9E7P8;A0A059RTG7;A0A059QNV4;E2DTL8;H9E7W2;G3CA49;K7WVJ5;H9E7T7;X5C6M5;X5BKA4;X2CK15;X2C841;W8DFH5;W8DBX9;W8D1X2;V9K571;V9JPM6;V9JD22;V9J3S1;U5Z9R9;U5Z487;U3LSI8;U3L556;T1SWS8;T1Q632;S4STI1;R9Y478;R9Y412;Q9B2U8;Q9B138;Q8WCW3;Q8HNR6;Q8HNR1;Q85KS0;Q7YEH2;Q7YCE6;Q7Y6N0;Q7Y6M3;Q6VJJ3;Q6VJD8;Q6VIG7;Q6RQ80;Q6RNN7;Q6RKW8;Q6R0V6;Q5XRW8;Q5SB08;Q5SAP1;Q5SA98;Q5S971;Q4GW12;Q4GVP5;Q4GQP0;Q4GHE1;Q4GCZ4;Q4GCG2;Q4GCC3;Q4F4V6;Q4EZD4;Q305H0;Q19MP7;Q15HH9;Q0Z7S0;Q0Z7K3;Q0Z7J0;Q0Z7F1;Q0Z7D8;Q09U41;Q06TE6;P00403;N0BMC4;L7XQ86;L7XMG0;L7NVC9;K9M370;K7X9X2;J7HPF9;J7FG21;I6UIH6;I6PRP7;I6N6Q6;I3Q4M2;I3PYD8;I2E7Z7;H9T3W9;H9SA70;H9S868;H9S5Y2;H9S054;H9RV93;H9RKS9;H9RJL3;H9RF01;H9RD12;H9RAX1;H9RA87;H9QLC8;H9QH59;H9Q9T5;H9PWQ9;H9PMX8;H9MK30;H9M675;H9LMC2;H9E7D1;G9LKX8;G9LHJ5;G9LG51;G9LB98;G8JF18;G8JE99;G5D8Q5;G5D8N2;G5D8K6;G5D8J3;G5D8C8;G5D863;G4W3U1;G4W3M6;F2WJ84;F2WI31;F2WGV2;F1CIN6;F1AZ87;E9P659;E7E4E0;E7CNQ9;E7CM18;E5FWC0;E5EWR3;E5EWL4;E5EWG2;E5E1V1;E5E1A6;E5E079;E5DZN4;E2JFC4;E0AF97;D2IKF4;D1G421;C8YBL1;C8Y3Q5;C8Y3G4;C8XWJ6;C5H6M8;C5H6M7;C5H6M5;C5H6M4;C5H6M3;C5H6K7;C5H6K6;C5H6K5;B5M7M0;B3GUF3;B3DE06;B2XP28;B2XL43;B2XIR3;B2XHT9;B2WRY8;B2CB37;B1W855;A7LFA2;A7LF11;A6ZHA9;A6ZFK3;A6ZF47;A6ZEU4;A6Z3M5;A1Z455;A0SA07;A0S3T1;A0S2P1;A0A059SAH5;A0A059S8A4;A0A059S2S6;A0A059S242;A0A059RZV1;A0A059RX67;A0A059RVU8;A0A059RUP9;A0A059RTZ6;A0A059RSL1;A0A059RRR2;A0A059RRG1;A0A059RR09;A0A059RQT0;A0A059RQQ2;A0A059RQI1;A0A059RQ10;A0A059RPV8;A0A059RP05;A0A059RNV8;A0A059RNF8;A0A059RMK0;A0A059RKP1;A0A059RJF0;A0A059RIZ2;A0A059RIQ8;A0A059RI85;A0A059RI53;A0A059RHY7;A0A059RFY4;A0A059R1T0;A0A059QVH0;A0A059QTW9;A0A059QS59;A0A059QQA7;A0A059QPU3;A0A059QPE9;A0A059QPE7;A0A059QLX8;A0A059QI72;A0A023QZ25;A0A059RUZ1;H9STE0;D3WYY8;B2YKU2;K7WG81;W8D4U9;Q7Y626;I6PZI4;H9PDV6;F1AZF2;C5H6L3;A0A059RLH3;A0A059RKX5;A0A059RHR2;A0A059QPY9;A0A059QPT6;A0A059QPR4;V9J3C6;V9J128;A6YW54;A0A059RIK5;D3WYY9;D2Y6Y2;D2Y6Y1;X2D541;X2D4T8;H9E7E4;H9E7B8;H9E779;S4UQ76;Q9B1F9;Q8HQB7;Q4F6A2;Q4EYL1;L7YNE0;H9T056;H9SYF8;H9RJM6;H9E792;G9LAZ4;G9C8L9;E9LAG1;E2JJS5;D7NUN3;D4IH20;D3YPT7;D2K1G3;C9D661;C7BWV1;B4F438;B2XPS3;B2XHF9;B0Z6W4;A7LDC6;A6Z6E8;A6YXV0;A6YWD1;A4ZKZ0;A1Z4V2;A0S0W7;A0A059RS76;A0A059QTV7;A0A059QFD5;A0A023QRX9;A0A023QCZ2	Q14XT3;X2D546;X2D544;X2D537;X2D4V5;X2D4V3;X2D4U5;X2D4U2;X2D4K6;X2D4F2;X2D4E2;X2D4D6;X2D3Z8;X2D3Z7;X2D3Z6;H9E7F7;A0A059QM31;H9E7P8;A0A059RTG7;A0A059QNV4;E2DTL8;H9E7W2;G3CA49;K7WVJ5;H9E7T7;X5C6M5;X5BKA4;X2CK15;X2C841;W8DFH5;W8DBX9;W8D1X2;V9K571;V9JPM6;V9JD22;V9J3S1;U5Z9R9;U5Z487;U3LSI8;U3L556;T1SWS8;T1Q632;S4STI1;R9Y478;R9Y412;Q9B2U8;Q9B138;Q8WCW3;Q8HNR6;Q8HNR1;Q85KS0;Q7YEH2;Q7YCE6;Q7Y6N0;Q7Y6M3;Q6VJJ3;Q6VJD8;Q6VIG7;Q6RQ80;Q6RNN7;Q6RKW8;Q6R0V6;Q5XRW8;Q5SB08;Q5SAP1;Q5SA98;Q5S971;Q4GW12;Q4GVP5;Q4GQP0;Q4GHE1;Q4GCZ4;Q4GCG2;Q4GCC3;Q4F4V6;Q4EZD4;Q305H0;Q19MP7;Q15HH9;Q0Z7S0;Q0Z7K3;Q0Z7J0;Q0Z7F1;Q0Z7D8;Q09U41;Q06TE6;P00403;N0BMC4;L7XQ86;L7XMG0;L7NVC9;K9M370;K7X9X2;J7HPF9;J7FG21;I6UIH6;I6PRP7;I6N6Q6;I3Q4M2;I3PYD8;I2E7Z7;H9T3W9;H9SA70;H9S868;H9S5Y2;H9S054;H9RV93;H9RKS9;H9RJL3;H9RF01;H9RD12;H9RAX1;H9RA87;H9QLC8;H9QH59;H9Q9T5;H9PWQ9;H9PMX8;H9MK30;H9M675;H9LMC2;H9E7D1;G9LKX8;G9LHJ5;G9LG51;G9LB98;G8JF18;G8JE99;G5D8Q5;G5D8N2;G5D8K6;G5D8J3;G5D8C8;G5D863;G4W3U1;G4W3M6;F2WJ84;F2WI31;F2WGV2;F1CIN6;F1AZ87;E9P659;E7E4E0;E7CNQ9;E7CM18;E5FWC0;E5EWR3;E5EWL4;E5EWG2;E5E1V1;E5E1A6;E5E079;E5DZN4;E2JFC4;E0AF97;D2IKF4;D1G421;C8YBL1;C8Y3Q5;C8Y3G4;C8XWJ6;C5H6M8;C5H6M7;C5H6M5;C5H6M4;C5H6M3;C5H6K7;C5H6K6;C5H6K5;B5M7M0;B3GUF3;B3DE06;B2XP28;B2XL43;B2XIR3;B2XHT9;B2WRY8;B2CB37;B1W855;A7LFA2;A7LF11;A6ZHA9;A6ZFK3;A6ZF47;A6ZEU4;A6Z3M5;A1Z455;A0SA07;A0S3T1;A0S2P1;A0A059SAH5;A0A059S8A4;A0A059S2S6;A0A059S242;A0A059RZV1;A0A059RX67;A0A059RVU8;A0A059RUP9;A0A059RTZ6;A0A059RSL1;A0A059RRR2;A0A059RRG1;A0A059RR09;A0A059RQT0;A0A059RQQ2;A0A059RQI1;A0A059RQ10;A0A059RPV8;A0A059RP05;A0A059RNV8;A0A059RNF8;A0A059RMK0;A0A059RKP1;A0A059RJF0;A0A059RIZ2;A0A059RIQ8;A0A059RI85;A0A059RI53;A0A059RHY7;A0A059RFY4;A0A059R1T0;A0A059QVH0;A0A059QTW9;A0A059QS59;A0A059QQA7;A0A059QPU3;A0A059QPE9;A0A059QPE7;A0A059QLX8;A0A059QI72;A0A023QZ25;A0A059RUZ1;H9STE0;D3WYY8;B2YKU2;K7WG81;W8D4U9;Q7Y626;I6PZI4;H9PDV6;F1AZF2;C5H6L3;A0A059RLH3;A0A059RKX5;A0A059RHR2;A0A059QPY9;A0A059QPT6;A0A059QPR4;V9J3C6;V9J128;A6YW54;A0A059RIK5	Cytochrome c oxidase subunit 2	COX2;COII;MT-CO2	3VRJ
27.15846	26.76648	27.52246	27.41369	26.88134	26.80673	26.85614	26.9157	26.18469	26.02291	26.42448	26.2724	27.30408	26.66574	26.58205	26.18682	26.74073	26.82214	26.79848	26.63672	0	6982700000	133	Q96A72;A0A023T6R1;A6NEC0;F5H6N1;F5H6P7;F5H3U9;F5H124	Q96A72;A0A023T6R1;A6NEC0;F5H6N1;F5H6P7	Protein mago nashi homolog 2	MAGOHB	
27.04343	27.36177	27.19798	27.40097	27.5634	27.42702	27.83485	27.854	27.81562	27.60908	27.74227	28.1984	26.69019	27.5232	27.07704	26.62408	26.73673	26.83219	26.28198	25.8208	0	9300200000	149	Q9Y5S9;A0A023T787;Q8WWE9	Q9Y5S9;A0A023T787	RNA-binding protein 8A	RBM8A	1P27;2HYI;2J0Q;2J0S;2XB2;3EX7
22.40886	22.01577	20.88495	22.01976	22.32393	21.98631	22.00076	22.04699	21.01567	22.46785	21.98251	21.0663	22.48899	22.50383	20.70238	20.67082	20.7169	20.6683	20.5715	20.51588	0.0069791	54648000	4	B7Z168;B0FYA8;E3SFN0;B0FYA7;A5YAK8;B0FWZ3;A5YAK7;Q7RTW5;B5BU95;A5YAK6;Q6PK61;A0A024QY88;A6MW54;B0FYA9;E7EX30;A6MW56;A6MW55;E3SFM9;F8W9E3;Q7RTW3;Q7RTV8;Q02297;B9EK51;Q7RTW4;H7BXY2;H0YBA3	B7Z168;B0FYA8;E3SFN0;B0FYA7;A5YAK8;B0FWZ3;A5YAK7;Q7RTW5;B5BU95;A5YAK6;Q6PK61;A0A024QY88;A6MW54;B0FYA9;E7EX30;A6MW56;A6MW55;E3SFM9;F8W9E3;Q7RTW3;Q7RTV8;Q02297;B9EK51;Q7RTW4;H7BXY2;H0YBA3	"Pro-neuregulin-1, membrane-bound isoform;Neuregulin-1"	NRG1	1HAE;1HAF;1HRE;1HRF;3U7U
25.1635	25.82148	25.1541	25.36169	21.2261	25.97064	20.8652	25.71869	22.76618	24.0387	20.84081	22.80035	21.41595	21.43686	22.54604	22.52193	22.55308	22.51689	22.43969	22.40282	0.0014999	1303400000	6	Q99805;A0A024QYR8;B3KSG9	Q99805;A0A024QYR8	Transmembrane 9 superfamily member 2	TM9SF2	
26.86432	27.14317	24.19925	24.20992	26.52573	26.76446	25.04013	24.729	26.09023	25.08176	23.85738	24.32478	25.56288	25.94864	26.52018	26.55577	25.1529	25.45645	25.66022	25.82459	0	4524400000	49	P05121;A0A024QYT5;B7ZAB0;B7Z4X6;B7Z1D9	P05121;A0A024QYT5;B7ZAB0;B7Z4X6	Plasminogen activator inhibitor 1	SERPINE1	1A7C;1B3K;1C5G;1DB2;1DVM;1DVN;1LJ5;1OC0;3CVM;3EOX;3PB1;3Q02;3Q03;3R4L;3UT3;4AQH;4G8O;4G8R;4IC0;9PAI
22.97441	22.92866	23.36706	23.81294	22.9186	22.59608	23.32347	23.02141	22.2878	22.98097	22.54354	21.63273	23.07024	23.08179	21.2783	21.24907	21.29048	21.24576	21.15508	21.10532	0	319870000	19	P61966;A0A024QYT6;H7C1E4	P61966;A0A024QYT6;H7C1E4	AP-1 complex subunit sigma-1A	AP1S1	4P6Z
28.99623	28.88233	28.88469	28.93393	28.53419	28.51228	28.41228	28.2566	28.81342	28.61719	28.7214	27.30095	28.76866	28.54344	28.31834	28.26181	28.42386	28.33078	28.36982	28.53545	0	29074000000	477	B4DVQ5;Q99613;A0A024QYU9;B4DVU3;B4DDN4;A1KYQ7;B4DRU0;B5ME19;B3KNZ4;B4E2Z6;A0A024QYX7;Q3B7B9;H3BPE4;H3BPE3;H3BTY8	B4DVQ5;Q99613;A0A024QYU9;B4DVU3;B4DDN4;A1KYQ7;B4DRU0;B5ME19;B3KNZ4;B4E2Z6;A0A024QYX7	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	
