01	02	03	04	05	06	07	08	09	10	11	12	Only identified by site	Reverse	Potential contaminant	t-test Significantcon_2d	t-test Significantcon_4d	matrix31	Q-value	Intensity	MS/MS Count	-Log t-test p-valuecon_2d	t-test Differencecon_2d	-Log t-test p-valuecon_4d	t-test Differencecon_4d	Test statistic_	Protein IDs	Majority protein IDs	Protein names	Gene names
#!{Description}																									This is the test statistic taking into account the effect of s0.				
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	C	C	N	N	N	N	N	N	N	N	T	T	T	T
#!{C:Group1}con	con	con	con	2d	2d	2d	2d	4d	4d	4d	4d																		
1.367552	-0.5124264	-0.3160973	1.723804	1.018673	1.098507	0.8538723	1.80574	0.8904057	0.661602	1.556984	0.8104172							0	4162700000	43	0.465938429148731	-0.628489971160889	0.284564314140842	-0.414144039154053	-0.258001919667877	E9PT29;A0A096MIX2;A0A096MJW9	E9PT29;A0A096MIX2		
-0.4367332	0.2865028	0.5744286	-0.6867886	0.4550762	-0.09360886	0.8870544	-0.6009865	-0.7462387	0.7724838	-0.8172112	0.09199333							0	1935300000	22	0.205461788034092	-0.227531433105469	0.0820975200503416	0.109095573425293	0.0737124139392318	A0A096MJ11	A0A096MJ11		
4.790775	3.217403	3.362957	4.931681	2.999634	2.739265	3.655878	3.775011	1.501945	2.509449	3.489059	1.883894							0	24467000000	46	0.738143862267566	0.783257007598877	1.47749388698115	1.72961711883545	1.06175368081232	A0A096MJG7;F1LVX3	A0A096MJG7		
-3.010185	-2.722752	-3.019868	-2.85442	-2.939502	-3.038454	-3.031946	-3.12238	-2.98447	-3.072308	-3.090295	-2.982719							0	100060000	3	0.818612209393303	0.131264269351959	0.862247953504422	0.130641639232636	0.121390165464108	A0A096MK75;A0A096MJM1;Q32PX6	A0A096MK75;A0A096MJM1;Q32PX6		Rhog
0.1874046	0.04450607	0.3737049	-0.6517506	0.1148014	0.9016209	0.02342415	0.2360001	1.087297	0.2266121	0.1062069	-1.006706							0	2028700000	22	0.505714752884957	-0.330495357513428	0.0859529050874657	-0.114886283874512	-0.0773919058533005	A0A0G2JVC7;A0A096MJW0;A0JN02;A0A096MJT3;E9PST0;A0A096MJN4;A0A096MIX9	A0A0G2JVC7;A0A096MJW0;A0JN02;A0A096MJT3;E9PST0;A0A096MJN4		Sept4
-0.640625	-3.050463	-5.328681	-0.4809361	-0.5181103	-0.2567711	-0.7209873	-0.4152813	-0.8733482	-5.404288	-0.2316704	-5.279347							0	1301000000	2	0.823140230570771	-1.89738893508911	0.118292194591088	0.57198703289032	0.20420146961111	A0A096MJP9;Q4V8J5	A0A096MJP9;Q4V8J5		Ddi2
-3.493738	-2.568922	-2.839893	-2.760948	-2.099302	-2.162573	-2.225826	-2.49122	-2.60622	-2.698109	-3.045485	-2.511814							0.00042553	309260000	3	1.65933817424382	-0.671144962310791	0.37570619776073	-0.200468480587006	-0.16269867300965	A0A096MJV2;D3Z8K0;A0A096MJC5;B5DEN7	A0A096MJV2;D3Z8K0;A0A096MJC5;B5DEN7		Pdzd11
-2.131145	-2.806984	-2.546465	-2.465185	-5.27778	-2.642445	-5.4008	-1.544874	-2.696657	-3.425247	-1.910885	-3.366703							0.0012053	266710000	4	0.595664078464568	1.22902977466583	0.423091307113315	0.362428188323975	0.262554561668676	A0A096MJY6	A0A096MJY6		
-1.801941	-5.363971	-1.902599	-2.986828	-2.460058	-1.068583	-2.546232	-2.338531	-5.3195	-2.594154	-3.346991	-1.932795						+	0	308010000	5	0.456234269655342	-0.910483777523041	0.0939050813795059	0.284525036811829	0.135110286323629	Q5XI22;F1LS48;D3ZKB6;A0A096MJY8;A0A0G2JUB4	Q5XI22;F1LS48;D3ZKB6;A0A096MJY8;A0A0G2JUB4	Acetyl-CoA acetyltransferase, cytosolic	Acat2;RGD1562948
6.410309	6.17514	6.233349	6.351328	6.552736	6.399658	6.229193	6.69887	6.539192	5.411089	6.246927	6.41185							0	155460000000	681	0.766343665855423	-0.177582740783691	0.215585595560719	0.140266895294189	0.11133976669261	A0A096MK30;O35763	A0A096MK30;O35763	Moesin	Msn
-1.172626	-2.576097	-4.468204	-2.813334	-1.603237	-1.793404	-1.217684	-0.7372952	-2.505691	-4.535177	-1.71176	-2.128395							0.0008071	374680000	2	1.02621060412543	-1.4196605682373	0.013673957311365	-0.0373098254203796	-0.0194208018197645	A0A096MK98;F1LX81	A0A096MK98;F1LX81		Slfn5
-0.2407341	-1.440992	-2.980139	0.1799984	-0.03491592	-0.2757397	-0.2067757	0.7265263	-0.4425564	-4.47975	0.60886	-1.619368							0	1511100000	20	0.778334635901202	-1.17274045944214	0.10203798808224	0.362736701965332	0.157266170135549	A0A096MKE2;D4A719;A0A096MKG7	A0A096MKE2;D4A719;A0A096MKG7		Snx12
-3.450665	-4.501744	-4.265628	-2.73098	-2.478409	-2.063652	-4.517946	-3.094812	-2.511618	-3.838194	-2.412374	-4.423412							0	186650000	5	0.470518967924029	-0.698549270629883	0.286646228452869	-0.440854668617249	-0.268768741668069	A0A096MKE5;A0A0G2K9Y9	A0A096MKE5;A0A0G2K9Y9		
-0.8775806	-0.5578995	-0.08080673	0.08220291	-0.6692257	-0.8459263	-0.9620266	-0.5620537	-0.1165829	-1.809677	-0.4623775	-0.1597843							0	1225100000	12	0.848069484421131	0.401287078857422	0.249598362880698	0.278584480285645	0.191461323058852	Q1HCL7;A0A096MKG5	Q1HCL7;A0A096MKG5	NAD kinase 2, mitochondrial	Nadk2
-2.447222	-1.491009	-2.747822	-1.912651	-2.572777	-1.658106	-1.870951	-1.446444	-2.239424	-2.318676	-1.497345	-1.882236							0	458750000	6	0.296014566173809	-0.262606620788574	0.193115853438678	-0.165255546569824	-0.123625259915747	A0A096MKH2;Q4KM55	A0A096MKH2;Q4KM55		Vta1
-0.7487621	-4.298756	-3.577879	-2.465919	-2.474304	-2.630255	-3.062298	-1.610998	-3.241423	-4.330568	-3.079268	-3.121784							0	405730000	5	0.151023885414922	-0.328365564346313	0.347616613467354	0.67043125629425	0.36671145856601	D3ZCL3;A0A096P6L1	D3ZCL3;A0A096P6L1	U1 small nuclear ribonucleoprotein C	Snrpc
1.424095	0.2710953	0.8171673	-0.1407223	1.031149	0.9182339	-0.2327957	0.01666641	2.640192	1.504274	1.986778	1.981821							0	4568300000	45	0.128980941919749	0.159595489501953	1.88386683317705	-1.43535757064819	-1.01662140792171	F1LST1;P04937;A0A096P6L8	F1LST1;P04937;A0A096P6L8	Fibronectin;Anastellin	Fn1
-3.374731	-3.609609	-4.506943	-3.269174	-3.38439	-5.403841	-4.310102	-5.600622	0.2181034	-3.635918	-0.8987331	-1.626648							0	251350000	3	0.839913087731174	0.984624326229095	1.37218514280349	-2.20431536436081	-1.18616952862751	A0A096P6L9	A0A096P6L9		
-2.390675	0.8080959	-0.09450531	-2.619209	-0.5530186	-0.5432625	-1.093346	-1.58758	0.1058578	0.4830418	-2.165413	-4.221904							0	1139500000	13	0.051552273349445	-0.129771709442139	0.0995330734322963	0.375531077384949	0.157541045316927	A0A097BW25;D3ZAF5;CON__Q2KJC7	A0A097BW25;D3ZAF5		Postn
-2.59746	-2.183935	-1.553692	-1.966066	-4.406322	-0.9936047	-1.370502	-1.831621	-4.449252	-0.4602184	-5.514547	-2.707712							0	467140000	6	0.0323275935555901	0.0752242803573608	0.488625347185789	1.20764410495758	0.568105568307144	A0A0A0MXU4;B0BNG0	A0A0A0MXU4;B0BNG0	ER membrane protein complex subunit 2	Emc2
-3.722189	-3.425287	-3.637753	-3.062689	-3.185055	-3.440826	-2.517965	-3.250898	-3.8181	-3.277411	-3.935436	-4.010902							0	175630000	6	0.710136383650361	-0.363293170928955	0.644590017082537	0.298482894897461	0.244333793417826	F1M3L7;A0A0A0MXV1	F1M3L7;A0A0A0MXV1	Epidermal growth factor receptor kinase substrate 8	Eps8
2.052826	3.286503	2.316608	2.921013	2.806534	3.004007	2.494509	3.068878	2.6702	3.214224	2.677702	2.826441							0	12431000000	52	0.265252811039265	-0.199244499206543	0.271635275373211	-0.202904224395752	-0.155076735835774	P35738;A0A0A0MXW1	P35738;A0A0A0MXW1	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	Bckdhb
