"Protein.ID" "Description" "Peptides" "Frames" "Hits" "Ratio.AS.0.C.0" "StDev" "pValue" "Fraction.1D_2D" "Gene_name" "UniprotID"
"1" "SP://A2A997" "A2A997_MOUSE Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1" 1 1 1 0 1 1 "A_21_19" "C8a" "A2A997"
"2" "SP://A2A998" "A2A998_MOUSE Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1" 1 1 1 0 1 1 "A_21_19" "C8a" "A2A998"
"3" "SP://A2ABV1" "A2ABV1_MOUSE Histone lysine demethylase PHF8 OS=Mus musculus GN=Phf8 PE=2 SV=1" 1 1 2 11.095 0.27 0.0013 "A_10_24" "Phf8" "A2ABV1"
"4" "SP://A2ABV1" "A2ABV1_MOUSE Histone lysine demethylase PHF8 OS=Mus musculus GN=Phf8 PE=2 SV=1" 1 1 1 99999.9 1 1 "A_13_23" "Phf8" "A2ABV1"
"5" "SP://A2AKE7" "ACL10_MOUSE Actin_like protein 10 OS=Mus musculus GN=Actl10 PE=3 SV=1" 1 1 1 0.304 0.184 0.00425 "A_25_21" "Actl10" "A2AKE7"
"6" "SP://A2ATR8" "A2ATR8_MOUSE Plasma protease C1 inhibitor OS=Mus musculus GN=Serping1 PE=2 SV=1" 1 1 10 2.586 0.088 0.00177 "A_23_31" "Serping1" "A2ATR8"
"7" "SP://A3KGI3" "A3KGI3_MOUSE Protein CASC5 OS=Mus musculus GN=Casc5 PE=4 SV=1" 1 1 1 1.798 0.14 0.0216 "A_33_19" "Casc5" "A3KGI3"
"8" "SP://A6H6S0" "A6H6S0_MOUSE Hect domain and RLD 3 OS=Mus musculus GN=Herc3 PE=2 SV=1" 1 1 1 0.838 0.21 0.287 "A_21_25" "Herc3" "A6H6S0"
"9" "SP://A6PW47" "A6PW47_MOUSE Mediator of RNA polymerase II transcription subunit 24 OS=Mus musculus GN=Med24 PE=2 SV=1" 1 1 1 0.781 0.312 0.422 "A_35_15" "Med24" "A6PW47"
"10" "SP://A6X935" "ITIH4_MOUSE Inter alpha_trypsin inhibitor_ heavy chain 4 OS=Mus musculus GN=Itih4 PE=1 SV=2" 1 1 1 1.801 0.232 0.0811 "A_27_23" "Itih4" "A6X935"
"11" "SP://A6X935-2" "ITIH4_MOUSE Isoform 2 of Inter alpha_trypsin inhibitor_ heavy chain 4 OS=Mus musculus GN=Itih4" 1 1 1 1.801 0.232 0.0811 "A_27_23" "Itih4" "A6X935-2"
"12" "SP://A6ZI44" "A6ZI44_MOUSE Fructose_bisphosphate aldolase OS=Mus musculus GN=Aldoa PE=2 SV=1" 1 1 2 0.417 0.046 0.0046 "A_26_01" "Aldoa" "A6ZI44"
"13" "SP://A6ZI46" "A6ZI46_MOUSE Fructose_bisphosphate aldolase OS=Mus musculus GN=Aldoart1 PE=2 SV=1" 1 1 2 0.417 0.046 0.0046 "A_26_01" "Aldoart1" "A6ZI46"
"14" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 4 0.16 0.093 0.0373 "A_17_02" "Hbbt1" "A8DUK4"
"15" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 2 2.6 0.085 0.0127 "A_18_01" "Hbbt1" "A8DUK4"
"16" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 5 1.654 0.063 0.0223 "A_20_01" "Hbbt1" "A8DUK4"
"17" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 4 0.718 0.026 0.00165 "A_22_01" "Hbbt1" "A8DUK4"
"18" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 3 0 1 1 "A_38_01" "Hbbt1" "A8DUK4"
"19" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 3 15.768 1.532 0.52 "A_40_01" "Hbbt1" "A8DUK4"
"20" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 1 12.604 1.778 0.51 "A_42_01" "Hbbt1" "A8DUK4"
"21" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 6 6.373 0.225 0.0867 "A_19_02" "Hbbt1" "A8DUK4"
"22" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 5 3.404 0.155 0.02 "A_21_02" "Hbbt1" "A8DUK4"
"23" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 3 4.768 0.019 0.00013 "A_25_02" "Hbbt1" "A8DUK4"
"24" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 2 9 3.116 0.035 0.00443 "A_37_02" "Hbbt1" "A8DUK4"
"25" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 5 1.286 0.092 0.0494 "A_38_03" "Hbbt1" "A8DUK4"
"26" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 2 7 3.763 0.051 0.000492 "A_39_02" "Hbbt1" "A8DUK4"
"27" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 5 1.417 0.298 0.227 "A_22_20" "Hbbt1" "A8DUK4"
"28" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 1 1.151 0.133 0.186 "A_22_22" "Hbbt1" "A8DUK4"
"29" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 1 99999.9 1 1 "A_17_23" "Hbbt1" "A8DUK4"
"30" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 1 0.801 0.136 0.0811 "A_20_24" "Hbbt1" "A8DUK4"
"31" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 4 2.659 0.12 0.00339 "A_19_31" "Hbbt1" "A8DUK4"
"32" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 2 3 26.975 0.03 0.00927 "A_21_31" "Hbbt1" "A8DUK4"
"33" "SP://A8DUK4" "A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1" 1 1 1 99999.9 1 1e-05 "A_22_26" "Hbbt1" "A8DUK4"
"34" "SP://B1AQZ2" "B1AQZ2_MOUSE Kinesin_like protein KIF3A OS=Mus musculus GN=Kif3a PE=2 SV=1" 1 1 1 99999.9 1 1 "A_21_02" "Kif3a" "B1AQZ2"
"35" "SP://B1AQZ5" "B1AQZ5_MOUSE Kinesin_like protein KIF3A (Fragment) OS=Mus musculus GN=Kif3a PE=2 SV=1" 1 1 1 99999.9 1 1 "A_21_02" "Kif3a" "B1AQZ5"
"36" "SP://B1ATC3" "B1ATC3_MOUSE Trinucleotide repeat_containing gene 6C protein OS=Mus musculus GN=Tnrc6c PE=4 SV=1" 1 1 1 11.521 0.548 0.00256 "A_11_31" "Tnrc6c" "B1ATC3"
"37" "SP://B7ZC94" "B7ZC94_MOUSE Trinucleotide repeat_containing gene 6C protein (Fragment) OS=Mus musculus GN=Tnrc6c PE=2 SV=1" 1 1 1 11.521 0.548 0.00256 "A_11_31" "Tnrc6c" "B7ZC94"
"38" "SP://B8JJM3" "B8JJM3_MOUSE Complement factor B (Fragment) OS=Mus musculus GN=Cfb PE=2 SV=1" 1 1 2 99999.9 1 1e-05 "A_33_04" "Cfb" "B8JJM3"
"39" "SP://B8JJM5" "B8JJM5_MOUSE Complement factor B OS=Mus musculus GN=Cfb PE=2 SV=1" 1 1 2 99999.9 1 1e-05 "A_33_04" "Cfb" "B8JJM5"
"40" "SP://B8JJM6" "B8JJM6_MOUSE Complement factor B OS=Mus musculus GN=Cfb PE=2 SV=1" 1 1 2 99999.9 1 1e-05 "A_33_04" "Cfb" "B8JJM6"
"41" "SP://B8JJN0" "B8JJN0_MOUSE Protein Gm20547 OS=Mus musculus GN=Gm20547 PE=2 SV=1" 1 1 2 99999.9 1 1e-05 "A_33_04" "Gm20547" "B8JJN0"
"42" "SP://B9EJA5" "B9EJA5_MOUSE D17H6S56E_3 protein OS=Mus musculus GN=Vwa7 PE=2 SV=1" 1 1 1 0.122 0.633 0.0166 "A_33_17" "Vwa7" "B9EJA5"
"43" "SP://B9EJA5" "B9EJA5_MOUSE D17H6S56E_3 protein OS=Mus musculus GN=Vwa7 PE=2 SV=1" 1 1 1 0.159 0.045 0.022 "A_36_16" "Vwa7" "B9EJA5"
"44" "SP://C8YR32" "LOXH1_MOUSE Lipoxygenase homology domain_containing protein 1 OS=Mus musculus GN=Loxhd1 PE=2 SV=1" 1 1 1 0.249 0.224 0.00401 "A_30_08" "Loxhd1" "C8YR32"
"45" "SP://C8YR32" "LOXH1_MOUSE Lipoxygenase homology domain_containing protein 1 OS=Mus musculus GN=Loxhd1 PE=2 SV=1" 1 1 1 0.897 0.27 0.622 "A_22_20" "Loxhd1" "C8YR32"
"46" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 1 2 0.349 0.113 0.00237 "A_17_02" "Kng1" "D3YTY9"
"47" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 1 1 0.006 1.485 0.0295 "A_28_01" "Kng1" "D3YTY9"
"48" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 1 1 99999.9 1 1e-05 "A_31_00" "Kng1" "D3YTY9"
"49" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 1 4 2.542 0.054 0.0148 "A_34_01" "Kng1" "D3YTY9"
"50" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 1 2 1.523 0.057 0.0716 "A_33_02" "Kng1" "D3YTY9"
"51" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 1 6 0.809 0.075 0.0306 "A_30_16" "Kng1" "D3YTY9"
"52" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 2 6 0.186 0.33 0.00897 "A_31_15" "Kng1" "D3YTY9"
"53" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 1 3 0.647 0.167 0.13 "A_31_17" "Kng1" "D3YTY9"
"54" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 1 2 0.032 0.103 0.00316 "A_37_15" "Kng1" "D3YTY9"
"55" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 1 6 0.898 0.028 0.113 "A_29_19" "Kng1" "D3YTY9"
"56" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 1 2 0.845 0.107 0.175 "A_31_19" "Kng1" "D3YTY9"
"57" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 1 6 1.394 0.105 0.0371 "A_19_31" "Kng1" "D3YTY9"
"58" "SP://D3YTY9" "D3YTY9_MOUSE Kininogen_1 OS=Mus musculus GN=Kng1 PE=2 SV=1" 1 1 2 14.499 0.68 0.00917 "A_21_31" "Kng1" "D3YTY9"
"59" "SP://D3YUI3" "D3YUI3_MOUSE Alpha_2_macroglobulin (Fragment) OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 1 1.187 0.156 0.159 "A_12_01" "Pzp" "D3YUI3"
"60" "SP://D3YUI3" "D3YUI3_MOUSE Alpha_2_macroglobulin (Fragment) OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 1 0.001 1.47 0.0235 "A_13_02" "Pzp" "D3YUI3"
"61" "SP://D3YUI3" "D3YUI3_MOUSE Alpha_2_macroglobulin (Fragment) OS=Mus musculus GN=Pzp PE=2 SV=1" 1 1 1 1.226 0.094 0.144 "A_16_01" "Pzp" "D3YUI3"
