"Protein.ID"	"Description"	"Peptides"	"Frames"	"Hits"	"Ratio.AS.0.C.0"	"StDev"	"pValue"	"Fraction.1D_2D"	"Gene_name"	"UniprotID"
"1"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	2	4	0.002	0.002	2.49e-13	"A_32_16"	"Camta1"	"A2A891-5"
"2"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	1	1	0.727	0.04	0.00767	"A_34_16"	"Camta1"	"A2A891-5"
"3"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	1	2	2.146	0.137	0.0141	"A_34_18"	"Camta1"	"A2A891-5"
"4"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	1	1	0.088	0.001	0.000102	"A_25_25"	"Camta1"	"A2A891-5"
"5"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	1	1	12.328	0.366	0.012	"B_32_15"	"Camta1"	"A2A891-5"
"6"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	1	3	28.589	2.953	0.00526	"B_34_15"	"Camta1"	"A2A891-5"
"7"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	1	1	99999.9	99999.9	1e-05	"B_36_15"	"Camta1"	"A2A891-5"
"8"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	1	1	2.253	0.037	8.4e-05	"B_31_16"	"Camta1"	"A2A891-5"
"9"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	1	1	21.415	2.281	0.0147	"B_32_19"	"Camta1"	"A2A891-5"
"10"	"SP://A2A891-5"	"CMTA1_MOUSE Isoform 5 of Calmodulin_binding transcription activator 1 OS=Mus musculus GN=Camta1"	1	2	2	81.628	2.285	5.84e-05	"B_34_17"	"Camta1"	"A2A891-5"
